"data";"valor"
"16/05/2016";"0,052531"
"17/05/2016";"0,052531"
"18/05/2016";"0,052531"
"19/05/2016";"0,052531"
"20/05/2016";"0,052531"
"23/05/2016";"0,052531"
"24/05/2016";"0,052531"
"25/05/2016";"0,052531"
"27/05/2016";"0,052531"
"30/05/2016";"0,052531"
"31/05/2016";"0,052531"
"01/06/2016";"0,052531"
"02/06/2016";"0,052531"
"03/06/2016";"0,052531"
"06/06/2016";"0,052531"
"07/06/2016";"0,052531"
"08/06/2016";"0,052531"
"09/06/2016";"0,052531"
"10/06/2016";"0,052531"
"13/06/2016";"0,052531"
"14/06/2016";"0,052531"
"15/06/2016";"0,052531"
"16/06/2016";"0,052531"
"17/06/2016";"0,052531"
"20/06/2016";"0,052531"
"21/06/2016";"0,052531"
"22/06/2016";"0,052531"
"23/06/2016";"0,052531"
"24/06/2016";"0,052531"
"27/06/2016";"0,052531"
"28/06/2016";"0,052531"
"29/06/2016";"0,052531"
"30/06/2016";"0,052531"
"01/07/2016";"0,052531"
"04/07/2016";"0,052531"
"05/07/2016";"0,052531"
"06/07/2016";"0,052531"
"07/07/2016";"0,052531"
"08/07/2016";"0,052531"
"11/07/2016";"0,052531"
"12/07/2016";"0,052531"
"13/07/2016";"0,052531"
"14/07/2016";"0,052531"
"15/07/2016";"0,052531"
"18/07/2016";"0,052531"
"19/07/2016";"0,052531"
"20/07/2016";"0,052531"
"21/07/2016";"0,052531"
"22/07/2016";"0,052531"
"25/07/2016";"0,052531"
"26/07/2016";"0,052531"
"27/07/2016";"0,052531"
"28/07/2016";"0,052531"
"29/07/2016";"0,052531"
"01/08/2016";"0,052531"
"02/08/2016";"0,052531"
"03/08/2016";"0,052531"
"04/08/2016";"0,052531"
"05/08/2016";"0,052531"
"08/08/2016";"0,052531"
"09/08/2016";"0,052531"
"10/08/2016";"0,052531"
"11/08/2016";"0,052531"
"12/08/2016";"0,052531"
"15/08/2016";"0,052531"
"16/08/2016";"0,052531"
"17/08/2016";"0,052531"
"18/08/2016";"0,052531"
"19/08/2016";"0,052531"
"22/08/2016";"0,052531"
"23/08/2016";"0,052531"
"24/08/2016";"0,052531"
"25/08/2016";"0,052531"
"26/08/2016";"0,052531"
"29/08/2016";"0,052531"
"30/08/2016";"0,052531"
"31/08/2016";"0,052531"
"01/09/2016";"0,052531"
"02/09/2016";"0,052531"
"05/09/2016";"0,052531"
"06/09/2016";"0,052531"
"08/09/2016";"0,052531"
"09/09/2016";"0,052531"
"12/09/2016";"0,052531"
"13/09/2016";"0,052531"
"14/09/2016";"0,052531"
"15/09/2016";"0,052531"
"16/09/2016";"0,052531"
"19/09/2016";"0,052531"
"20/09/2016";"0,052531"
"21/09/2016";"0,052531"
"22/09/2016";"0,052531"
"23/09/2016";"0,052531"
"26/09/2016";"0,052531"
"27/09/2016";"0,052531"
"28/09/2016";"0,052531"
"29/09/2016";"0,052531"
"30/09/2016";"0,052531"
"03/10/2016";"0,052531"
"04/10/2016";"0,052531"
"05/10/2016";"0,052531"
"06/10/2016";"0,052531"
"07/10/2016";"0,052531"
"10/10/2016";"0,052531"
"11/10/2016";"0,052531"
"13/10/2016";"0,052531"
"14/10/2016";"0,052531"
"17/10/2016";"0,052531"
"18/10/2016";"0,052531"
"19/10/2016";"0,052531"
"20/10/2016";"0,051660"
"21/10/2016";"0,051660"
"24/10/2016";"0,051660"
"25/10/2016";"0,051660"
"26/10/2016";"0,051660"
"27/10/2016";"0,051660"
"28/10/2016";"0,051660"
"31/10/2016";"0,051660"
"01/11/2016";"0,051660"
"03/11/2016";"0,051660"
"04/11/2016";"0,051660"
"07/11/2016";"0,051660"
"08/11/2016";"0,051660"
"09/11/2016";"0,051660"
"10/11/2016";"0,051660"
"11/11/2016";"0,051660"
"14/11/2016";"0,051660"
"16/11/2016";"0,051660"
"17/11/2016";"0,051660"
"18/11/2016";"0,051660"
"21/11/2016";"0,051660"
"22/11/2016";"0,051660"
"23/11/2016";"0,051660"
"24/11/2016";"0,051660"
"25/11/2016";"0,051660"
"28/11/2016";"0,051660"
"29/11/2016";"0,051660"
"30/11/2016";"0,051660"
"01/12/2016";"0,050788"
"02/12/2016";"0,050788"
"05/12/2016";"0,050788"
"06/12/2016";"0,050788"
"07/12/2016";"0,050788"
"08/12/2016";"0,050788"
"09/12/2016";"0,050788"
"12/12/2016";"0,050788"
"13/12/2016";"0,050788"
"14/12/2016";"0,050788"
"15/12/2016";"0,050788"
"16/12/2016";"0,050788"
"19/12/2016";"0,050788"
"20/12/2016";"0,050788"
"21/12/2016";"0,050788"
"22/12/2016";"0,050788"
"23/12/2016";"0,050788"
"26/12/2016";"0,050788"
"27/12/2016";"0,050788"
"28/12/2016";"0,050788"
